food,serving,calories
Yorkshire Pudding,1 pudding (15 g),83 cal
Scotch Broth,1 cup (241 g),80 cal
Cabbage Soup,1 cup (245 g),69 cal
Blackberries,1 cup (144 g),62 cal
Buckwheat Groats,1 cup (164 g),567 cal
Bacon and Eggs,1 serving (214 g),539 cal
Zinger,1 sandwich (202 g),517 cal
Whole Grain Wheat,1 cup (120 g),407 cal
Cherries,1 cherry (8 g),4 cal
Beetroot,1 beet (82 g),35 cal
California Roll,1 roll (35 g),33 cal
Zucchini,1 zucchini (196 g),33 cal
Fajita,1 serving (248 g),290 cal
Plantain,1 plantain (179 g),218 cal
Farfalle,2 oz. (56 g),200 cal
Acai,1 oz. (28.35 g),20 cal
Beef Stew,1 cup (196 g),186 cal
Seafood Pizza,1 slice (76 g),186 cal
Apricot,1 apricot (35 g),17 cal
Passion Fruit,1 passoin fruit (18 g),17 cal
Bell Pepper,1 pepper (73 g),15 cal
Savoury Biscuits,40 grams (40 g),139 cal
Apricot Kernel Oil,1 tbsp (14 ml),124 cal
Babassu Oil,1 tbsp (14 ml),124 cal
Rice Bran Oil,1 tbsp (14 ml),124 cal
Palm Oil,1 tbsp (14 ml),123 cal
Banana,1 banana (125 g),111 cal
Rhubarb,1 stalk (51 g),11 cal
Chicken Bouillon,1 cup (241 g),10 cal
Acerola,1 acerola (4.8 g),1 cal
